roi_0_contour_0_x;roi_0_contour_0_y;roi_1_contour_0_x;roi_1_contour_0_y;roi_2_contour_0_x;roi_2_contour_0_y;roi_3_contour_0_x;roi_3_contour_0_y;roi_4_contour_0_x;roi_4_contour_0_y;roi_5_contour_0_x;roi_5_contour_0_y;roi_6_contour_0_x;roi_6_contour_0_y;roi_7_contour_0_x;roi_7_contour_0_y;roi_8_contour_0_x;roi_8_contour_0_y;roi_9_contour_0_x;roi_9_contour_0_y;
243.538;59.1913;17.5381;56.1913;169.538;96.1913;243.538;135.191;27.5381;139.191;107.538;161.191;178.538;195.191;33.5381;227.191;115.538;250.191;241.538;252.191;
242.538;58.1913;16.5381;55.1913;168.538;95.1913;243.538;134.191;27.5381;138.191;107.538;160.191;177.538;194.191;33.5381;226.191;113.538;248.191;240.538;251.191;
242.538;57.1913;16.5381;54.1913;168.538;94.1913;241.538;132.191;26.5381;137.191;106.538;159.191;177.538;193.191;31.5381;224.191;113.538;247.191;240.538;250.191;
240.538;55.1913;14.5381;52.1913;166.538;92.1913;241.538;131.191;26.5381;136.191;106.538;158.191;175.538;191.191;31.5381;223.191;112.538;246.191;238.538;248.191;
240.538;54.1913;14.5381;51.1913;166.538;91.1913;240.538;130.191;25.5381;135.191;104.538;156.191;175.538;190.191;30.5381;222.191;112.538;245.191;238.538;247.191;
239.538;53.1913;13.5381;50.1913;165.538;90.1913;240.538;129.191;25.5381;134.191;104.538;155.191;174.538;189.191;30.5381;221.191;111.538;244.191;237.538;246.191;
239.538;52.1913;13.5381;49.1913;165.538;89.1913;239.538;128.191;23.5381;132.191;103.538;154.191;174.538;188.191;29.5381;220.191;111.538;243.191;237.538;245.191;
238.538;51.1913;12.5381;48.1913;164.538;88.1913;239.538;127.191;23.5381;131.191;103.538;153.191;173.538;187.191;29.5381;219.191;109.538;241.191;236.538;244.191;
238.538;50.1913;12.5381;47.1913;164.538;87.1913;237.538;125.191;22.5381;130.191;102.538;152.191;173.538;186.191;27.5381;217.191;109.538;240.191;236.538;243.191;
236.538;48.1913;10.5381;45.1913;162.538;85.1913;237.538;124.191;22.5381;129.191;102.538;151.191;171.538;184.191;27.5381;216.191;108.538;239.191;234.538;241.191;
